nombre_show,tipo_show,precio,duracion,local,nota_atrapalo,numero_opiniones,tipo_local,valoracion_google,numero_reseñas_google,coordenadas
La Maricomedia - Un Show Drag Heterofriendly,show,8.0,60.0,Clandestino Café Teatro,9.5,80.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
"Barbie Boy, un monólogo de comedia tartamuda",show,5.0,65.0,Estación Malasaña,9.7,37.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Vagos y maleantes,show,7.5,70.0,Bala Perdida Club (Hotel Axel Madrid),9.4,147.0,hotel,4.4,1872.0,"(40.413134, -3.7005625)"
El micro abierto de la Estupenda,open_mic,3.0,80.0,Estupenda Bar,9.0,57.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
De Madrid Al Suelo,show,10.0,70.0,Abonavida,9.6,44.0,bar,4.3,1274.0,"(40.4191439, -3.7065685)"
No te atasques con tu vida - Joan Natzari,show,10.0,60.0,Teatro de las Aguas,8.6,228.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Momentos de ternura. Con Edu Halmoguera y Pablo Medina,show,12.0,70.0,El Golfo Comedy Club,9.0,17.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Los perros no hablan,show,8.0,90.0,Sala Kathedral,9.3,91.0,bar,3.7,158.0,"(40.4225675, -3.7037307)"
¡Tampoco es para tanto! - Javi Bravo,show,8.0,60.0,Estación Malasaña,9.3,140.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
No + Reglas,show,7.0,70.0,Collage Burlesque,9.3,10.0,bar,4.6,56.0,"(40.42912525, -3.698373844811268)"
¡Hostia Patxi! un monólogo en Madrid,show,10.0,70.0,MadBeerHall,9.2,71.0,,,,
Comedia sin Límites - Monólogos y mucho más,show,12.0,70.0,Beer Station,8.6,34.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Archie Bezos.- graciOSO,show,12.0,70.0,El Golfo Comedy Club,8.8,21.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Estación Comedy,cuenta_local,2.5,60.0,Estación Malasaña,8.6,137.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Dos Gordos muy Grasiosos,show,13.0,60.0,Vodevil Circus,9.5,29.0,teatro,4.9,159.0,"(40.48500660617931, -3.3599625803074087)"
Tinder Sorpresa,show,15.5,90.0,Teatro Real Carlos III de Aranjuez,9.1,1822.0,teatro,4.5,1013.0,"(40.0333747, -3.6040168)"
Juanma Molina y Ruinas Planchuelo - Del Sur,show,15.0,90.0,Teatro Chocita del Loro - Gran Vía,9.3,23.0,teatro,4.5,4273.0,"(40.4683282, -3.8707172)"
Luismi - Colocado cabe 4.0,show,15.0,90.0,Teatro Chocita del Loro - Gran Vía,9.0,285.0,teatro,4.5,4273.0,"(40.4683282, -3.8707172)"
Si te ríes: ¡Gano! - Concurso de monólogos (En Galileo Galilei),concurso,10.0,90.0,Sala Galileo Galilei,8.5,58.0,espacios variados,4.3,4057.0,"(40.4385349, -3.7098303)"
Fernando García - Lo que yo sé de las mujeres,show,17.0,90.0,Teatro Chocita del Loro - Gran Vía,8.9,345.0,teatro,4.5,4273.0,"(40.4683282, -3.8707172)"
Kabraloker - Mas Loco Que Una Cabra,show,10.0,60.0,Clandestino Café Teatro,8.8,57.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Soy Tóxica,show,7.5,70.0,Bala Perdida Club (Hotel Axel Madrid),9.0,60.0,hotel,4.4,1872.0,"(40.413134, -3.7005625)"
"Dos Gordos muy Grasiosos, en Estupenda Bar",show,6.0,75.0,Estupenda Bar,9.0,67.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0,Collage Burlesque,9.0,75.0,bar,4.6,56.0,"(40.42912525, -3.698373844811268)"
"Daniel Fez. La vida Regulinchi, en Madrid",show,16.0,60.0,Teatro Alcázar,,,teatro,4.3,6730.0,"(40.41762175, -3.6989692917634684)"
